Result	Trial	Arena	Assay	ChDate	Sex	LizID	Trt	TotalDist	Velocity	Social_Freq	Social_Duration	Social_LatFirst	Neutral_Freq	Neutral_Duration	Neutral_LatFirst	Asocial_Freq	Asocial_Duration	Asocial_LatFirst	NovItem_Freq	NovItem_Duration	NovItem_LatFirst	NovZone_Freq	NovZone_Duration	NovZone_LatFirst	Hide_Freq	Hide_Duration	Hide_DurationOrig	Hide_LatFirst	Entry_Freq	Entry_Duration	Entry_LatFirst	Arena_Freq	Arena_Duration	Arena_LatFirst
Result 1	Trial    14	Arena 3	Exploration	CH2_19.12.15_DVR2	F	81	High	159.546	0.132955	2	127.48	0	4	13.36	91.6	6	111.04	93.04	1	1.68	89.6	4	10.08	84.08	3	948.16	948.16	95.48	10	71.04	93.68	1	1200.04	0
Result 1	Trial    14	Arena 4	Exploration	CH2_19.12.15_DVR2	F	80	High	708.523	0.590436	9	673.28	0	16	136.64	159.8	9	388.8	160.8	6	147.4	674.6	20	469.4	35.76	1	1.32	1.32	743.36	15	110.64	166.4	1	1200.04	0
Result 1	Trial    15	Arena 1	Exploration	CH3_19.12.15_DVR2	F	84	Low	174.702	0.145585	2	43.2	13.56	4	3.96	13.28	4	106.56	0	0	0	NA	0	0	NA	2	1046.32	1046.32	153.64	2	76.56	77.16	1	1200.04	0
Result 1	Trial    15	Arena 2	Exploration	CH3_19.12.15_DVR2	F	57	Low	647.676	0.53973	8	194.52	0	14	72.56	46	19	365.44	47.36	4	5.2	785.6	15	21.84	42.36	12	567.52	567.52	49.44	32	194.68	48.28	1	1200.04	0
Result 1	Trial    15	Arena 3	Exploration	CH3_19.12.15_DVR2	M	92	High	317.4	0.2645	5	730.52	0	6	158.28	700.24	3	76.28	835.8	0	0	NA	1	7.48	1169.68	1	234.96	234.96	865	3	12.96	858.76	1	1200.04	0
Result 1	Trial    15	Arena 4	Exploration	CH3_19.12.15_DVR2	F	66	High	34.6922	0.0289101	1	292.64	0	1	3.64	292.64	1	1.2	296.28	1	0.4	291.92	2	2.64	290.24	1	902.56	902.56	297.48	1	0.68	296.8	1	1200.04	0
Result 1	Trial    16	Arena 1	Exploration	CH4_19.12.15_DVR2	M	36	High	47.897	0.0399141	1	196.2	0	1	2.76	196.2	1	1.32	198.96	1	3.36	192.52	2	4.28	190.16	1	999.76	999.76	200.28	1	0.24	200.04	1	1200.04	0
Result 1	Trial    16	Arena 2	Exploration	CH4_19.12.15_DVR2	F	90	High	28.9905	0.0243617	1	6.36	0	1	10.8	6.36	1	1173	17.16	1	0.16	6.16	2	0.24	6.04	0	9.88	0	0	1	1172.92	17.24	1	1190.16	0
Result 1	Trial    16	Arena 3	Exploration	CH4_19.12.15_DVR2	F	141	High	63.5821	0.0529851	1	88.56	0	1	3.32	88.56	1	2.84	91.88	2	28.2	0	4	10.8	27.2	1	1105.32	1105.32	94.72	1	0.84	93.88	1	1200.04	0
Result 1	Trial    16	Arena 4	Exploration	CH4_19.12.15_DVR2	F	54	Low	814.704	0.67892	9	486.48	0	20	62.48	290.92	29	269.28	293.8	9	24.32	636.24	27	53.6	622.36	17	381.8	381.8	295.2	29	67.24	294.92	1	1200.04	0
Result 1	Trial    17	Arena 1	Exploration	CH1_20.12.15_DVR2	F	134	High	402.549	0.335458	7	190.92	0	10	121.96	19.92	93	271.64	26.6	2	1.24	650.6	15	83.48	645.88	89	615.52	615.52	37	95	214.6	36.52	1	1200.04	0
Result 1	Trial    17	Arena 2	Exploration	CH1_20.12.15_DVR2	M	24	High	523.051	0.435876	7	184.6	0	19	139.28	29.16	47	258.76	40.72	5	18.36	721.32	22	69.52	29.8	39	608.52	608.52	54.04	41	56.92	53.96	1	1200.04	0
Result 1	Trial    17	Arena 3	Exploration	CH1_20.12.15_DVR2	M	117	High	898.913	0.749169	11	435.36	0	20	131.32	169.52	61	375.56	170.64	3	4.88	677.08	16	85.84	462.16	50	253.12	253.12	181.36	58	114.24	181.08	1	1200.04	0
Result 1	Trial    17	Arena 4	Exploration	CH1_20.12.15_DVR2	F	22	Low	378.016	0.315014	3	160.48	0	6	58.92	44.4	64	408.6	45.88	2	2	686.6	5	98.16	685.8	61	572.04	572.04	54.44	90	242.04	53.88	1	1200.04	0
Result 1	Trial    18	Arena 1	Exploration	CH2_20.12.15_DVR2	M	26	High	604.901	0.504152	6	276.68	0	15	214.84	224.72	153	585.56	251.56	1	0.32	693.92	3	31.6	222.32	144	122.96	122.92	262.8	151	378.84	257.32	1	1200	0
Result 1	Trial    18	Arena 2	Exploration	CH2_20.12.15_DVR2	F	62	Low	105.024	0.08752	1	245.76	0	1	0.8	245.76	23	22.4	246.56	0	0	NA	0	0	NA	23	931.08	931.08	256.28	23	14.88	254.08	1	1200.04	0
Result 1	Trial    18	Arena 3	Exploration	CH2_20.12.15_DVR2	F	81	High	190.432	0.158694	1	301.12	0	3	23.08	301.12	7	44.96	323.32	0	0	NA	7	3.36	207.92	4	830.88	830.88	344.12	7	23.92	343.36	1	1200.04	0
Result 1	Trial    18	Arena 4	Exploration	CH2_20.12.15_DVR2	F	80	High	861.443	0.717893	6	532.64	398.2	13	122.8	375.84	104	530.32	0.16	11	26.44	487	19	383.24	459.24	100	14.28	14.28	0	107	217.8	29.32	1	1200.04	0
Result 1	Trial    19	Arena 1	Exploration	CH3_20.12.15_DVR2	F	84	Low	155.056	0.129213	2	115.84	0	2	21.76	69.4	3	17.44	137.64	0	0	NA	0	0	NA	3	1044.96	1044.96	148.12	5	7.12	147.56	1	1200.04	0
Result 1	Trial    19	Arena 2	Exploration	CH3_20.12.15_DVR2	F	57	Low	931.496	0.776247	13	273.64	0	24	92.44	2.12	52	812.48	2.28	4	7.4	447.68	15	54.28	438.68	41	21.48	21.48	168.36	56	452.56	144.24	1	1200.04	0
Result 1	Trial    19	Arena 3	Exploration	CH3_20.12.15_DVR2	M	92	High	848.486	0.707071	8	215.56	0	14	99.36	29.92	37	861.6	58.68	1	5.48	597.12	6	37.16	514.88	29	20.56	20.56	431.4	27	266.4	430.88	1	1200.04	0
Result 1	Trial    19	Arena 4	Exploration	CH3_20.12.15_DVR2	F	66	High	67.5265	0.0562721	0	0	NA	0	0	NA	2	115.68	0	0	0	NA	0	0	NA	2	1084.36	1084.36	115.64	10	56.96	39.4	1	1200.04	0
Result 1	Trial    20	Arena 1	Exploration	CH4_20.12.15_DVR2	M	36	High	74.7959	0.0623299	0	0	NA	1	23.24	0	3	606.08	23.24	0	0	NA	0	0	NA	3	570.72	570.72	75.2	3	564.56	64.76	1	1200.04	0
Result 1	Trial    20	Arena 2	Exploration	CH4_20.12.15_DVR2	F	90	High	61.6893	0.0514078	1	166.92	0	1	0.88	166.92	4	500.56	167.8	2	0.68	165.84	3	2	164.36	4	531.68	531.68	168.92	4	500.32	168.04	1	1200.04	0
Result 1	Trial    20	Arena 3	Exploration	CH4_20.12.15_DVR2	F	141	High	121.205	0.101004	1	110.28	0	1	6.64	110.28	20	294.56	116.92	0	0	NA	1	11.92	95.04	20	788.56	788.56	126.52	20	285.2	126.28	1	1200.04	0
Result 1	Trial    20	Arena 4	Exploration	CH4_20.12.15_DVR2	F	54	Low	594.331	0.495276	8	317.28	0	11	54.72	143.28	28	496.4	146.44	5	12.08	583.24	15	67.64	564.44	23	331.6	331.6	166.28	36	421.16	164.08	1	1200.04	0
Result 1	Trial    21	Arena 1	Exploration	CH1_21.12.15_DVR2	F	134	High	577.132	0.480944	9	584.92	0	15	246.68	197.36	20	344.72	202.64	3	22.04	631.32	5	92.52	584.48	13	23.72	23.72	211.44	17	162.24	211.08	1	1200.04	0
Result 1	Trial    21	Arena 2	Exploration	CH1_21.12.15_DVR2	M	24	High	344.801	0.287334	5	71.84	0	10	100.68	9.04	53	161.6	13.48	3	4.04	477.24	8	33.36	142.92	48	864.8	864.8	39.76	56	92.16	28.56	1	1200.04	0
Result 1	Trial    21	Arena 3	Exploration	CH1_21.12.15_DVR2	M	117	High	1099.32	0.916103	14	302.48	0	28	134	15.56	89	380.16	15.88	8	10.04	15.2	20	152.2	14.92	74	377.8	377.8	16.08	94	192.92	15.96	1	1200.04	0
Result 1	Trial    21	Arena 4	Exploration	CH1_21.12.15_DVR2	F	22	Low	641.917	0.534931	7	332.88	0	16	105.72	90.16	45	429.12	91.8	5	6.48	489.44	15	124.72	466.28	36	332.32	332.32	284.8	46	274.8	136.88	1	1200.04	0
Result 1	Trial    22	Arena 1	Exploration	CH2_21.12.15_DVR2	M	26	High	157.161	0.130967	1	249.56	0	1	4.28	249.56	17	534.88	254.04	0	0	NA	0	0	NA	16	411.12	411.12	283.72	18	514.2	274.32	1	1200.04	0
Result 1	Trial    22	Arena 2	Exploration	CH2_21.12.15_DVR2	F	62	Low	46.6539	0.0388782	0	0	NA	0	0	NA	10	143.72	0	0	0	NA	0	0	NA	10	1056.32	1056.32	84.6	10	112.16	31.56	1	1200.04	0
Result 1	Trial    22	Arena 3	Exploration	CH2_21.12.15_DVR2	F	81	High	835.769	0.696474	8	249.88	0	17	71.68	48.56	36	648.56	55.44	3	9.64	449.2	7	47.24	320.92	30	229.92	229.92	63.68	41	348.4	62.52	1	1200.04	0
Result 1	Trial    22	Arena 4	Exploration	CH2_21.12.15_DVR2	F	80	High	852.261	0.710217	11	377.08	378.36	20	179.28	374.68	90	628.96	0	4	92.84	469.28	20	188.6	377.88	80	14.72	14.72	52.68	88	297.44	0	1	1200.04	0
Result 1	Trial    23	Arena 1	Exploration	CH3_21.12.15_DVR2	F	84	Low	81.8131	0.0681776	1	160.12	37.2	1	1.36	197.32	1	1.6	198.72	0	0	NA	1	1.96	195.84	2	1036.92	1036.92	0	1	1.28	199.04	1	1200.04	0
Result 1	Trial    23	Arena 2	Exploration	CH3_21.12.15_DVR2	F	57	Low	902.487	0.752072	9	318.08	0	18	115.52	0.04	57	747.84	0.36	2	4.84	514.2	8	28.32	330.64	47	18.6	18.6	69.6	70	396.12	69.52	1	1200.04	0
Result 1	Trial    23	Arena 3	Exploration	CH3_21.12.15_DVR2	M	92	High	79.4034	0.0661695	1	444.48	0	1	2.16	444.48	4	319.88	446.88	0	0	NA	1	71.48	0	3	432.92	432.92	460.84	3	307.52	459.6	1	1200.04	0
Result 1	Trial    23	Arena 4	Exploration	CH3_21.12.15_DVR2	F	66	High	683.201	0.569334	9	466.76	0	17	89.28	192.8	23	554.56	198	5	11.44	360.04	16	115.84	346.04	14	89.44	89.44	207.48	29	350.04	202.56	1	1200.04	0
Result 1	Trial    24	Arena 1	Exploration	CH4_21.12.15_DVR2	M	36	High	84.2249	0.0701874	1	25.8	779	1	2.24	804.8	4	47.44	807.04	0	0	NA	0	0	NA	5	1124.56	1124.56	0	4	10.52	843.96	1	1200.04	0
Result 1	Trial    24	Arena 2	Exploration	CH4_21.12.15_DVR2	F	90	High	769.531	0.641275	11	522.44	0	19	42	205.8	22	105.96	206.84	2	3.32	200.72	9	47.04	199.6	14	529.64	529.64	208.84	21	19.96	207.64	1	1200.04	0
Result 1	Trial    24	Arena 3	Exploration	CH4_21.12.15_DVR2	F	141	High	44.6065	0.0371721	1	180.76	0	1	6.36	180.76	1	2.48	187.12	1	0.2	180.56	2	7.16	174.48	1	1010.44	1010.44	189.6	1	0.48	189.12	1	1200.04	0
Result 1	Trial    24	Arena 4	Exploration	CH4_21.12.15_DVR2	F	54	Low	638.508	0.53209	9	244.92	0	18	58.24	68.8	25	525.84	70.96	4	15.24	486.76	16	42.8	443.64	16	371.04	371.04	472.32	22	348.24	77.08	1	1200.04	0
