,Trial,Arena,Assay,ChDate,Sex,LizID,Trt,TotalDist,Velocity,Hide_Freq,Hide_Duration,Hide_DurationOrig,Hide_LatFirst,Entry_Freq,Entry_Duration,Entry_LatFirst,NovItem_Freq,NovItem_Duration,NovItem_LatFirst,NovZone_Freq,NovZone_Duration,NovZone_LatFirst,Social_Freq,Social_Duration,Social_LatFirst,Neutral_Freq,Neutral_Duration,Neutral_LatFirst,Asocial_Freq,Asocial_Duration,Asocial_LatFirst,Arena_Freq,Arena_Duration,Arena_LatFirst
Result 1,Trial    14,Arena 1,Exploration,CH2_19.12.15_DVR1,F,0063,High,79.8835,0.0665696,1,1146.32,1146.32,53.72,1,1.8,51.92,0,0,-,4,3.16,43.76,1,49.28,0,1,1.48,49.28,1,2.96,50.76,1,1200.04,0
Result 1,Trial    14,Arena 2,Exploration,CH2_19.12.15_DVR1,M,0011,High,53.2542,0.0447514,4,10.32,0.44,77.28,10,1093.32,74.88,0,0,-,1,57.84,0,1,66.48,0,1,4.32,66.48,5,1118.92,70.8,1,1190.16,0
Result 1,Trial    14,Arena 3,Exploration,CH2_19.12.15_DVR1,F,0127,Low,141.651,0.118042,4,934.08,934.08,204.28,6,17.4,204.08,1,0.32,202.56,4,7.24,201.96,2,209.6,0,3,3.8,202.92,5,52.56,203.8,1,1200.04,0
Result 1,Trial    14,Arena 4,Exploration,CH2_19.12.15_DVR1,F,0046,High,46.1194,0.0384328,2,79.36,79.36,145.88,2,974.96,145.72,1,0.28,144.56,2,0.48,144.28,1,144.8,0,1,0.64,144.8,2,975.24,145.44,1,1200.04,0
Result 1,Trial    15,Arena 1,Exploration,CH3_19.12.15_DVR1,F,0097,Low,52.6827,0.0439023,3,1161.84,1161.84,25.28,3,16.52,21.68,0,0,-,0,0,-,1,13.32,0,1,1.92,13.32,3,22.96,15.24,1,1200.04,0
Result 1,Trial    15,Arena 2,Exploration,CH3_19.12.15_DVR1,M,0146,High,170.067,0.141723,12,904.24,904.24,69.8,15,111.72,68.44,0,0,-,0,0,-,1,32.6,1097.4,8,30.12,0.6,20,233.08,0,1,1200.04,0
Result 1,Trial    15,Arena 3,Exploration,CH3_19.12.15_DVR1,F,0028,High,995.279,0.829399,54,200.84,200.84,78.24,76,305.76,4.92,4,4.24,101.12,13,16.4,93.44,12,286.16,86.08,26,101.36,0,68,611.68,1.16,1,1200.04,0
Result 1,Trial    15,Arena 4,Exploration,CH3_19.12.15_DVR1,F,0068,Low,788.095,0.656746,53,396,396,231.6,69,127.84,231.44,1,0.24,229.84,10,23.88,229.44,6,290.24,0,14,68.24,230,65,434.88,231.2,1,1200.04,0
Result 1,Trial    16,Arena 1,Exploration,CH4_19.12.15_DVR1,F,0060,High,79.0767,0.0658973,1,748.88,748.88,451.16,1,0.88,450.28,0,0,-,2,0.48,445.96,1,449.48,0,1,0.56,449.48,1,1.12,450.04,1,1200.04,0
Result 1,Trial    16,Arena 2,Exploration,CH4_19.12.15_DVR1,F,0048,Low,618.722,0.515602,15,233.96,233.96,303.24,22,575.12,7.16,5,26.24,486.88,12,54.16,443.12,8,218.84,0,16,72.28,0.68,23,674.96,1.84,1,1200.04,0
Result 1,Trial    16,Arena 3,Exploration,CH4_19.12.15_DVR1,M,0002,High,19.4971,0.0162476,2,1184.08,1184.08,4.36,2,12.4,3.56,0,0,-,0,0,-,0,0,-,0,0,-,2,15.96,0,1,1200.04,0
Result 1,Trial    16,Arena 4,Exploration,CH4_19.12.15_DVR1,M,0135,High,59.3249,0.0494374,1,1082.68,1082.68,117.36,1,0.96,116.4,0,0,-,0,0,-,1,110.88,0,1,1.24,110.88,1,5.24,112.12,1,1200.04,0
Result 1,Trial    17,Arena 1,Exploration,CH1_20.12.15_DVR3,M,0142,High,104.303,0.0869192,2,1001.44,1001.44,198.48,3,22.04,176.52,2,5.72,0,3,4.04,2.92,1,147.8,0,1,2.04,147.8,2,48.76,149.84,1,1200.04,0
Result 1,Trial    17,Arena 2,Exploration,CH1_20.12.15_DVR3,M,0021,High,390.939,0.325782,5,829.64,829.64,47.28,14,39.24,46.8,3,3.8,597.16,9,21.84,36.44,5,154.44,0,9,60.32,38.56,10,155.64,46.48,1,1200.04,0
Result 1,Trial    17,Arena 3,Exploration,CH1_20.12.15_DVR3,F,0114,Low,408.391,0.340326,9,554.4,554.4,334.96,16,356.92,2.44,2,3.24,363.76,5,7.96,362.64,5,142.48,348.4,9,51.44,345.24,14,451.72,0,1,1200.04,0
Result 1,Trial    17,Arena 4,Exploration,CH1_20.12.15_DVR3,F,0053,High,620.559,0.517132,22,344.64,344.64,362.68,35,173.24,361.28,5,2.76,358.28,12,35.92,357.52,8,455.88,0,16,83.52,359.12,31,316,360.56,1,1200.04,0
Result 1,Trial    18,Arena 1,Exploration,CH2_20.12.15_DVR3,F,0063,High,226.61,0.188842,4,848.52,848.52,238.24,10,21.04,237.64,1,2.04,1138.48,4,13.48,208.6,3,270.48,0,5,23.32,228.4,7,57.72,236,1,1200.04,0
Result 1,Trial    18,Arena 2,Exploration,CH2_20.12.15_DVR3,M,0011,High,111.271,0.0927258,4,804.04,804.04,22.08,51,75.32,21.24,0,0,-,0,0,-,1,18.12,0,1,1.88,18.12,5,376,20,1,1200.04,0
Result 1,Trial    18,Arena 3,Exploration,CH2_20.12.15_DVR3,F,0127,Low,372.99,0.310825,17,837.84,837.84,4.2,53,100.76,4.04,3,3.52,1.36,6,4.16,0,3,15.56,0,7,13.36,2.16,22,333.28,3.64,1,1200.04,0
Result 1,Trial    18,Arena 4,Exploration,CH2_20.12.15_DVR3,F,0046,High,333.905,0.278254,3,771.52,771.52,226.12,11,103.36,176.92,2,1.96,1018.6,10,16.88,1017.44,5,168.6,0,9,31.64,126.36,7,228.28,128.2,1,1200.04,0
Result 1,Trial    19,Arena 1,Exploration,CH3_20.12.15_DVR3,F,0097,Low,531.942,0.443285,15,316.6,316.6,602.4,22,619.64,37.64,4,2,789.44,8,14.2,788.76,6,109.96,0,12,38.08,35.96,21,735.4,37.28,1,1200.04,0
Result 1,Trial    19,Arena 2,Exploration,CH3_20.12.15_DVR3,M,0146,High,72.5138,0.0604281,1,641.08,641.08,558.96,1,1.76,557.2,1,1.92,543.76,2,4.12,542.24,1,545.8,0,1,7.2,545.8,1,5.96,553,1,1200.04,0
Result 1,Trial    19,Arena 3,Exploration,CH3_20.12.15_DVR3,F,0028,High,851.279,0.709399,11,284.12,284.12,167.16,40,229.6,117.36,2,0.8,824.88,10,13.52,104.6,8,174.68,0,16,119.52,47.24,19,621.72,109.6,1,1200.04,0
Result 1,Trial    19,Arena 4,Exploration,CH3_20.12.15_DVR3,F,0068,Low,484.683,0.403903,17,865.88,865.88,64.48,38,30.24,63.68,3,3.84,653.8,17,48.6,61.92,8,128.64,0,16,110.64,62.52,25,94.88,63.2,1,1200.04,0
Result 1,Trial    20,Arena 1,Exploration,CH4_20.12.15_DVR3,F,0060,High,39.7774,0.0331478,3,490.76,490.76,709.2,3,0.28,709,0,0,-,1,0.92,706.84,1,707.8,0,1,0.76,707.8,3,0.72,708.56,1,1200.04,0
Result 1,Trial    20,Arena 2,Exploration,CH4_20.12.15_DVR3,F,0048,Low,363.887,0.303239,17,255.76,255.76,24.16,21,628.48,23.12,1,3.16,916.28,3,13.92,914.76,3,119.92,616.2,7,111.28,0,21,713.08,22.28,1,1200.04,0
Result 1,Trial    20,Arena 3,Exploration,CH4_20.12.15_DVR3,M,0002,High,108.433,0.0911201,1,9.92,0.04,151.4,3,912.04,151,0,0,-,1,4.88,140.92,1,85.8,58.72,3,6.64,53.64,4,1097.68,0,1,1190.16,0
Result 1,Trial    20,Arena 4,Exploration,CH4_20.12.15_DVR3,M,0135,High,715.949,0.596624,35,465.48,465.48,19.92,58,155.48,18.84,5,18.72,587.84,15,59.84,524.2,7,201.64,524.76,15,86.32,0,43,446.6,18.08,1,1200.04,0
Result 1,Trial    21,Arena 1,Exploration,CH1_21.12.15_DVR3,M,0142,High,60.6035,0.0577286,4,1071.8,921.6,277.96,4,11.52,266.92,0,0,-,0,0,-,1,103.52,150.2,1,5.76,253.72,4,18.96,259.48,1,1049.84,150.2
Result 1,Trial    21,Arena 2,Exploration,CH1_21.12.15_DVR3,M,0021,High,398.731,0.365969,16,837.2,726.72,201.76,23,64.2,197.96,4,3.36,648.32,7,13.2,471.28,4,156.64,110.48,7,30.4,191.4,19,175.8,195.84,1,1089.56,110.48
Result 1,Trial    21,Arena 3,Exploration,CH1_21.12.15_DVR3,F,0114,Low,774.02,0.645017,25,578.84,578.84,43.8,36,63.52,43.6,6,10.96,195.16,11,53.96,177.96,8,248.04,13.96,16,102.96,13.08,33,270.2,0,1,1200.04,0
Result 1,Trial    21,Arena 4,Exploration,CH1_21.12.15_DVR3,F,0053,High,452.439,0.377032,7,487.88,487.88,270.16,15,138.48,268.12,1,2.52,641.84,4,9.24,241.32,4,279.2,0,8,28.64,243.6,11,404.32,244.76,1,1200.04,0
Result 1,Trial    22,Arena 1,Exploration,CH2_21.12.15_DVR3,F,0063,High,58.5574,0.0487978,1,940.76,940.76,259.28,1,0.88,258.4,2,0.52,253.08,4,9.8,245.88,1,254.44,0,1,2.92,254.44,1,1.92,257.36,1,1200.04,0
Result 1,Trial    22,Arena 2,Exploration,CH2_21.12.15_DVR3,M,0011,High,688.358,0.573631,58,678.32,678.32,61.96,66,201.52,55.96,4,6.24,621.36,11,19.52,618.72,9,147.36,0,15,44.96,47.92,65,329.4,50.88,1,1200.04,0
Result 1,Trial    22,Arena 3,Exploration,CH2_21.12.15_DVR3,F,0127,Low,436.737,0.363947,25,701.92,701.92,181.44,28,190.72,180.24,16,115.68,0,19,54.56,1.28,5,222.24,0,9,43.36,139.6,29,232.52,146.72,1,1200.04,0
Result 1,Trial    22,Arena 4,Exploration,CH2_21.12.15_DVR3,F,0046,High,181.625,0.151354,5,973.48,973.48,137.48,8,10.84,137,2,2.32,132.64,6,10.56,131.68,2,185.36,0,4,12.2,134.4,7,29,135.72,1,1200.04,0
Result 1,Trial    23,Arena 1,Exploration,CH3_21.12.15_DVR3,F,0097,Low,64.1748,0.053479,5,1135.32,1135.32,55.16,5,12.96,51.76,0,0,-,0,0,-,1,41.52,0,1,1.28,41.52,5,21.92,42.8,1,1200.04,0
Result 1,Trial    23,Arena 2,Exploration,CH3_21.12.15_DVR3,M,0146,High,149.283,0.124402,7,818.28,818.28,241.2,12,15.84,240.04,0,0,-,2,15.24,141.64,2,128.84,141,4,70.96,94.2,9,181.96,0,1,1200.04,0
Result 1,Trial    23,Arena 3,Exploration,CH3_21.12.15_DVR3,F,0028,High,858.678,0.715565,12,193.72,193.72,380.72,30,199.96,80.84,7,27.92,113.8,19,74.88,112.68,8,221.24,98.56,18,95.44,96.36,23,689.64,0,1,1200.04,0
Result 1,Trial    23,Arena 4,Exploration,CH3_21.12.15_DVR3,F,0068,Low,442.198,0.368498,29,819.56,819.56,135.96,47,71.8,135.68,1,3.04,286.36,8,18.32,127.4,5,195.6,0,10,68.76,131.4,34,116.12,133.44,1,1200.04,0
Result 1,Trial    24,Arena 1,Exploration,CH4_21.12.15_DVR3,F,0060,High,94.3555,0.0786296,4,944.08,944.08,215.8,7,22.56,212.8,1,0.52,204.76,2,1.4,203.6,1,205.28,0,1,0.8,205.28,4,49.88,206.08,1,1200.04,0
Result 1,Trial    24,Arena 2,Exploration,CH4_21.12.15_DVR3,F,0048,Low,842.09,0.701742,6,280.16,280.16,144.48,12,149.12,143,6,6.8,285.8,29,103.56,122.64,11,398.92,0,19,188.88,130.64,15,332.08,141.84,1,1200.04,0
Result 1,Trial    24,Arena 3,Exploration,CH4_21.12.15_DVR3,M,0002,High,12.3584,0.0102987,1,1151.64,1151.64,48.4,1,0.2,48.2,0,0,-,0,0,-,0,0,-,1,47.84,0,1,0.56,47.84,1,1200.04,0
