"Result","Trial","Arena","Assay","ChDate","Sex","LizID","LizID_etho","Trt","TotalDist","Velocity","NovItem_Freq","NovItem_Duration","NovItem_LatFirst","NovZone_Freq","NovZone_Duration","NovZone_LatFirst","Hide_Freq","Hide_Duration","Hide_DurationOrig","Hide_LatFirst","Entry_Freq","Entry_Duration","Entry_LatFirst","Social_Freq","Social_Duration","Social_LatFirst","Neutral_Freq","Neutral_Duration","Neutral_LatFirst","Asocial_Freq","Asocial_Duration","Asocial_LatFirst","Arena_Freq","Arena_Duration","Arena_LatFirst","LizID_nums","LizID_num","liz_capture_date","liz_collect_site","date_of_measurements","hlen","hwid","EndMass","mass","svl","tail_length","liz_status","liz_death_date","liz_notes"
"Result 1","Trial     6","Arena 3","Exploration","CH2_21.12.15_DVR1","F","ld0029",29,"Low",348.506,"0.290421",0,0,NA,6,11.68,564.4,45,578.16,578.16,5.48,55,461.28,4.96,3,50,0,5,18.96,2.4,48,552.92,3.72,1,1200.04,0,29,NA,"30/08/2015","UNSWKen","30/08/2015",6.96,4.99,1.113,1.3,39,60,"ALIVE","",""
"Result 1","Trial     6","Arena 3","Exploration","CH2_17.12.15_DVR2","F","ld0081",81,"High",871.458,"0.726215",0,0,NA,5,9.32,594.88,14,176.08,176.08,587.6,36,459.92,170.92,4,190.24,0,15,77.84,160.52,26,755.88,162.44,1,1200.04,0,81,NA,"5/09/2015","SP","5/09/2015",7.31,4.9,1.104,1,40,63,"ALIVE","","few bite marks on ventral. Updated tc from tc0155 on 6/12/16 "
"Result 1","Trial     6","Arena 4","Exploration","CH2_17.12.15_DVR1","F","ld0046",46,"High",613.94,"0.511616",1,0.24,480.12,6,11,479.52,50,723.56,723.56,101.88,56,117.56,101.16,7,248.68,0,12,41.08,99.88,56,186.72,100.84,1,1200.04,0,NA,46,"2/09/2015","SP","2/09/2015",7.44,5.33,1.479,1.1,43,69,"ALIVE","",""
"Result 1","Trial     6","Arena 4","Exploration","CH2_21.12.15_DVR1","F","ld0038",38,"High",1337.23,"1.11435",5,15,87.48,18,43.16,2.28,45,229.88,229.88,4.92,39,75.4,4.4,14,277.92,0,34,123.4,3.08,61,568.84,4.12,1,1200.04,0,38,NA,"30/08/2015","UNSWKen","30/08/2015",7.29,5.22,1.172,1.1,40,61,"ALIVE","","missing digits, thus toeclip based on missing digit"
"Result 1","Trial     6","Arena 4","Exploration","CH2_17.12.15_DVR2","F","ld0080",80,"High",318.913,"0.265761",1,42.2,812.28,4,93.16,784,4,611.48,611.48,127.8,13,115.44,127.48,3,302.4,0,5,24.84,121.84,7,261.32,124.2,1,1200.04,0,80,NA,"5/09/2015","SP","5/09/2015",7.18,5.11,1.272,1.1,41,50,"ALIVE","","few bite marks on ventral. Regrown tail, Isolated for mite treatment 27.12.16, not very infested at all, but was in enclosure with infested indiv."
"Result 1","Trial     7","Arena 1","Exploration","CH3_17.12.15_DVR1","F","ld0097",97,"Low",95.8906,"0.0799088",0,0,NA,0,0,NA,7,1073.56,1073.56,112.48,11,4.6,108.4,1,105.08,0,1,1.72,105.08,7,19.68,106.8,1,1200.04,0,NA,97,"5/09/2015","SP","5/09/2015",7.61,5.28,1.322,1.3,43,52,"DEAD","4/08/2017","bite marks (i.e. from copulation) on ventral. Regrown tail"
"Result 1","Trial     7","Arena 1","Exploration","CH3_21.12.15_DVR1","F","ld0074",74,"Low",597.51,"0.497925",2,1.12,769.8,6,156.4,243.04,118,408.84,408.84,251.2,112,103.6,251.12,6,542.16,0,11,43.36,245.2,123,205.68,249.2,1,1200.04,0,74,NA,"1/09/2015","SP","1/09/2015",7.27,4.98,0.895,0.9,40,45,"DEAD","1/04/2016","bite marks (i.e. from copulation) on ventral. Regrown tail"
"Result 1","Trial     7","Arena 1","Exploration","CH3_17.12.15_DVR2","F","ld0084",84,"Low",903.916,"0.753264",2,6.16,728.36,4,11.24,719.68,8,286.12,286.12,192.84,57,224.88,154.68,9,347.04,0,19,73.92,148.4,19,492.96,150.48,1,1200.04,0,84,NA,"5/09/2015","SP","5/09/2015",7.09,5.05,1.191,1.3,40,54,"ALIVE","",""
"Result 1","Trial     7","Arena 2","Exploration","CH3_17.12.15_DVR2","F","ld0057",57,"Low",718.506,"0.598755",2,3.08,488.72,5,7.36,486.12,17,559.28,559.28,93.24,39,126.76,91.76,6,133.44,0,12,29.48,23.88,24,477.84,27.12,1,1200.04,0,57,NA,"1/09/2015","SP","1/09/2015",7.29,5.11,1.214,1.1,41,51,"ALIVE","","bite marks (i.e. from copulation) on ventral. Regrown tail"
"Result 1","Trial     7","Arena 3","Exploration","CH3_17.12.15_DVR1","F","ld0028",28,"High",968.892,"0.80741",3,6.76,361.56,34,123.64,119.24,25,196.64,196.64,135,45,252.56,134.8,9,426.36,0,20,91.28,132.12,37,485.76,134.2,1,1200.04,0,NA,28,"30/08/2015","UNSWKen","30/08/2015",7.71,5.64,1.401,1.5,43,63,"DEAD","14/12/2016","missing digits, thus toeclip based on missing digit"
